Transaction_ID,Account_ID,Date,Transaction_Type,Amount,Transaction_Fee
100000,5594,1/1/2022 0:00,Payment,36358.91,446.58
100001,6296,1/1/2022 1:00,Deposit,20488.64,205.55
100002,5172,1/1/2022 2:00,Payment,11129.85,69.4
100003,5972,1/1/2022 3:00,Withdrawal,18120.44,240.18
100004,6030,1/1/2022 4:00,Deposit,14563.16,132.07
100005,6178,1/1/2022 5:00,Transfer,9216.42,131.09
100006,5545,1/1/2022 6:00,Withdrawal,37294.98,733.14
100007,5547,1/1/2022 7:00,Transfer,12977.46,86.56
100008,5517,1/1/2022 8:00,Deposit,22981.29,188.03
100009,5913,1/1/2022 9:00,Payment,19600.04,237.09
100010,5214,1/1/2022 10:00,Withdrawal,49112.83,959.13
100011,5133,1/1/2022 11:00,Withdrawal,19859.07,329.21
100012,5284,1/1/2022 12:00,Transfer,4459.13,82.38
100013,6149,1/1/2022 13:00,Deposit,4946.37,49.49
100014,6462,1/1/2022 14:00,Transfer,29742.31,591.29
100015,5685,1/1/2022 15:00,Deposit,30168.5,197.38
100016,6175,1/1/2022 16:00,Withdrawal,21228.57,123.01
100017,5330,1/1/2022 17:00,Deposit,21876.26,390.14
100018,6406,1/1/2022 18:00,Withdrawal,3169.66,59.94
100019,6138,1/1/2022 19:00,Deposit,26069.05,165.77
100020,5893,1/1/2022 20:00,Payment,25484.6,170.78
100021,6307,1/1/2022 21:00,Deposit,7902.69,43.45
100022,5898,1/1/2022 22:00,Payment,5640.05,37.04
100023,6098,1/1/2022 23:00,Deposit,6616.84,53.87
100024,6189,1/2/2022 0:00,Deposit,5500.9,107.55
100025,6212,1/2/2022 1:00,Transfer,30680.56,460.76
100026,5077,1/2/2022 2:00,Transfer,10225.89,170.55
100027,5946,1/2/2022 3:00,Withdrawal,12945.79,215.45
100028,5687,1/2/2022 4:00,Transfer,9091.82,118.43
100029,5020,1/2/2022 5:00,Deposit,47912.85,812.71
100030,5565,1/2/2022 6:00,Transfer,42803.56,596.56
100031,6207,1/2/2022 7:00,Deposit,11909.49,115.74
100032,6245,1/2/2022 8:00,Payment,16714.53,224.25
100033,5826,1/2/2022 9:00,Deposit,10889.7,141.59
100034,6351,1/2/2022 10:00,Withdrawal,24847.86,431.15
100035,5178,1/2/2022 11:00,Payment,1470.72,29.01
100036,6135,1/2/2022 12:00,Withdrawal,33732.72,376.65
100037,6082,1/2/2022 13:00,Withdrawal,26396.33,434.24
100038,6350,1/2/2022 14:00,Withdrawal,44982.63,292.23
100039,5904,1/2/2022 15:00,Transfer,8637.44,143.83
100040,5668,1/2/2022 16:00,Withdrawal,40303.41,426.06
100041,5190,1/2/2022 17:00,Payment,39702.07,221.97
100042,6223,1/2/2022 18:00,Deposit,6795.47,71
100043,6335,1/2/2022 19:00,Withdrawal,20228.68,286.43
100044,5707,1/2/2022 20:00,Payment,8922.56,60.57
100045,6058,1/2/2022 21:00,Withdrawal,13108.66,247.24
100046,5378,1/2/2022 22:00,Deposit,13530.69,83.42
100047,5386,1/2/2022 23:00,Payment,28033.7,531.24
100048,5236,1/3/2022 0:00,Payment,20864.84,325.64
100049,5615,1/3/2022 1:00,Deposit,47412.77,471.55
100050,5282,1/3/2022 2:00,Payment,6755.32,73.37
100051,5000,1/3/2022 3:00,Deposit,48697.76,784.63
100052,5463,1/3/2022 4:00,Payment,11916.61,167.1
100053,6253,1/3/2022 5:00,Payment,38757.26,584.25
100054,5966,1/3/2022 6:00,Deposit,17279.01,187.26
100055,5171,1/3/2022 7:00,Deposit,7582.53,93.4
100056,6110,1/3/2022 8:00,Payment,42965.51,852.78
100057,6146,1/3/2022 9:00,Payment,15788.61,129.61
100058,5842,1/3/2022 10:00,Deposit,33113.34,373.12
100059,6321,1/3/2022 11:00,Transfer,28538.96,267.62
100060,5689,1/3/2022 12:00,Deposit,23851.94,393
100061,5574,1/3/2022 13:00,Payment,25043.06,412.21
100062,5164,1/3/2022 14:00,Payment,36745.78,344.92
100063,5382,1/3/2022 15:00,Payment,4844.76,30.14
100064,5208,1/3/2022 16:00,Deposit,33574.94,173.63
100065,6455,1/3/2022 17:00,Payment,44842.7,511.73
100066,6412,1/3/2022 18:00,Transfer,3360.52,37.49
